Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_059189.1	5845887	5850089	LG8	minus	uncharacterized LOC116929233, transcript variant X2	LOC116929233	116929233	lncRNA	XR_004397715.2			
NC_059189.1	5850364	5851617	LG8	minus	uncharacterized LOC123475445	LOC123475445	123475445	lncRNA	XR_006650529.1			
NC_059189.1	5854831	5857438	LG8	plus	probable RNA methyltransferase Y17G7B.18 isoform X1	LOC116929232	116929232	protein-coding	XM_032936395.2	XP_032792286.2	567	
NC_059189.1	5860286	5865764	LG8	plus	uncharacterized protein LOC116928580 isoform X1	LOC116928580	116928580	protein-coding	XM_032935675.2	XP_032791566.2	526	
NC_059189.1	5866850	5888930	LG8	minus	LOW QUALITY PROTEIN: neuroblast differentiation-associated protein AHNAK	LOC116928579	116928579	protein-coding	XM_045177937.1	XP_045033872.1	4288	
NC_059189.1	5889411	5892088	LG8	plus	uncharacterized LOC123475386	LOC123475386	123475386	lncRNA	XR_006650410.1			
NC_059189.1	5895665	5897487	LG8	plus	cyclin-K	LOC116928583	116928583	protein-coding	XM_032935680.2	XP_032791571.1	407	
NC_059189.1	5897477	5899400	LG8	minus	GTPase Obg	LOC116928582	116928582	protein-coding	XM_032935678.2	XP_032791569.1	431	
NC_059189.1	5899529	5901351	LG8	minus	uncharacterized protein LOC123475387	LOC123475387	123475387	protein-coding	XM_045177999.1	XP_045033934.1	502	
NC_059189.1	5903122	5905859	LG8	plus	uncharacterized LOC116928584, transcript variant X2	LOC116928584	116928584	lncRNA	XR_006650411.1			
NC_059189.1	5906299	5908534	LG8	plus	uncharacterized gene	LOC116928585	116928585	pseudogene				
NC_059189.1	5908539	5911198	LG8	minus	golgin subfamily A member 6-like protein 22	LOC116928624	116928624	protein-coding	XM_032935728.2	XP_032791619.2	477	
NC_059189.1	5912179	5913167	LG8	plus	uncharacterized LOC116928625	LOC116928625	116928625	misc_RNA	XR_006650389.1			
NC_059189.1	5913265	5914753	LG8	plus	uncharacterized protein LOC116928626	LOC116928626	116928626	protein-coding	XM_032935730.2	XP_032791621.2	482	
NC_059189.1	5921066	5921911	LG8	plus	uncharacterized LOC123475305	LOC123475305	123475305	lncRNA	XR_006650338.1			
NC_059189.1	5944099	5944676	LG8	minus	uncharacterized LOC123475326	LOC123475326	123475326	lncRNA	XR_006650381.1			
NC_059189.1	5950774	5951358	LG8	plus	uncharacterized protein LOC116917387	LOC116917387	116917387	protein-coding	XM_032922841.2	XP_032778732.2	142	
NC_059189.1	5964040	5965175	LG8	plus	uncharacterized LOC116924373, transcript variant X2	LOC116924373	116924373	lncRNA	XR_006650271.1			
NC_059189.1	5971099	5971498	LG8	plus	uncharacterized LOC123475303	LOC123475303	123475303	lncRNA	XR_006650332.1			
NC_059189.1	5971711	5972781	LG8	plus	heat shock 70 kDa protein 4L-like	LOC123475302	123475302	protein-coding	XM_045177867.1	XP_045033802.1	192	
NC_059189.1	5989749	5994411	LG8	plus	LOW QUALITY PROTEIN: uncharacterized protein LOC123475344	LOC123475344	123475344	protein-coding	XM_045177940.1	XP_045033875.1	1128	
NC_059189.1	6003087	6005558	LG8	plus	uncharacterized LOC123475419	LOC123475419	123475419	lncRNA	XR_006650454.1			
NC_059189.1	6005917	6006895	LG8	minus	extensin-2-like	LOC123475345	123475345	protein-coding	XM_045177941.1	XP_045033876.1	201	
NC_059189.1	6009621	6010657	LG8	plus	arrestin domain-containing protein 17-like	LOC123475408	123475408	protein-coding	XM_045178039.1	XP_045033974.1	189	
NC_059189.1	6010202	6013291	LG8	minus	uncharacterized protein LOC123475399	LOC123475399	123475399	protein-coding	XM_045178030.1	XP_045033965.1	331	
NC_059189.1	6015132	6015592	LG8	minus	uncharacterized LOC123475418, transcript variant X2	LOC123475418	123475418	lncRNA	XR_006650452.1			
NC_059189.1	6015679	6017633	LG8	minus	extensin-2-like	LOC123475406	123475406	protein-coding	XM_045178036.1	XP_045033971.1	194	
NC_059189.1	6020943	6024407	LG8	minus	tripartite motif-containing protein 59-like isoform X1	LOC123475391	123475391	protein-coding	XM_045178023.1	XP_045033958.1	463	
NC_059189.1	6024735	6027382	LG8	plus	uncharacterized LOC123475415	LOC123475415	123475415	lncRNA	XR_006650445.1			
NC_059189.1	6027634	6028612	LG8	minus	extensin-2-like	LOC123475346	123475346	protein-coding	XM_045177942.1	XP_045033877.1	201	
NC_059189.1	6028311	6034491	LG8	plus	uncharacterized gene	LOC123475347	123475347	pseudogene				
NC_059189.1	6034968	6037348	LG8	minus	extensin-2-like isoform X1	LOC123475405	123475405	protein-coding	XM_045178034.1	XP_045033969.1	221	
NC_059189.1	6039118	6039998	LG8	minus	uncharacterized LOC123475411	LOC123475411	123475411	lncRNA	XR_006650436.1			
NC_059189.1	6040220	6042343	LG8	minus	carboxypeptidase A1-like	LOC123475396	123475396	protein-coding	XM_045178028.1	XP_045033963.1	393	
NC_059189.1	6043634	6044825	LG8	minus	uncharacterized LOC123475412	LOC123475412	123475412	lncRNA	XR_006650437.1			
NC_059189.1	6045047	6047136	LG8	minus	uncharacterized gene	LOC123475348	123475348	pseudogene				
NC_059189.1	6049876	6052063	LG8	minus	uncharacterized gene	LOC123475392	123475392	pseudogene				
NC_059189.1	6052081	6053496	LG8	minus	E3 ubiquitin-protein ligase TRIM32-like	LOC123475397	123475397	protein-coding	XM_045178029.1	XP_045033964.1	353	
NC_059189.1	6054392	6057933	LG8	plus	uncharacterized LOC123475414, transcript variant X6	LOC123475414	123475414	lncRNA	XR_006650439.1			
NC_059189.1	6060679	6066978	LG8	plus	uncharacterized gene	LOC123475402	123475402	pseudogene				
NC_059189.1	6060802	6066005	LG8	minus	uncharacterized gene	LOC123475400	123475400	pseudogene				
NC_059189.1	6066921	6067366	LG8	minus	uncharacterized LOC123475425	LOC123475425	123475425	lncRNA	XR_006650462.1			
NC_059189.1	6069581	6070469	LG8	minus	uncharacterized LOC123475413	LOC123475413	123475413	lncRNA	XR_006650438.1			
NC_059189.1	6070691	6072874	LG8	minus	carboxypeptidase A1-like	LOC123475395	123475395	protein-coding	XM_045178027.1	XP_045033962.1	417	
NC_059189.1	6073705	6074192	LG8	minus	E3 ubiquitin-protein ligase SH3RF1-like	LOC123475409	123475409	protein-coding	XM_045178043.1	XP_045033978.1	114	
NC_059189.1	6074483	6077132	LG8	plus	uncharacterized LOC123475421	LOC123475421	123475421	lncRNA	XR_006650457.1			
NC_059189.1	6077384	6078362	LG8	minus	extensin-2-like	LOC123475349	123475349	protein-coding	XM_045177943.1	XP_045033878.1	168	
NC_059189.1	6078033	6086013	LG8	plus	uncharacterized protein LOC123466543 isoform X1	LOC123466543	123466543	protein-coding	XM_045178040.1	XP_045033975.1	119	
NC_059189.1	6085952	6086795	LG8	minus	uncharacterized LOC123475424, transcript variant X2	LOC123475424	123475424	lncRNA	XR_006650460.1			
NC_059189.1	6087226	6089273	LG8	minus	extensin-2-like isoform X1	LOC123475407	123475407	protein-coding	XM_045178037.1	XP_045033972.1	190	
NC_059189.1	6090733	6092193	LG8	minus	extensin-2-like	LOC123475398	123475398	transcribed_pseudogene	XR_006650432.1			
NC_059189.1	6093845	6097045	LG8	minus	uncharacterized gene	LOC123475401	123475401	pseudogene				
NC_059189.1	6095288	6097748	LG8	plus	uncharacterized LOC123475422	LOC123475422	123475422	lncRNA	XR_006650458.1			
NC_059189.1	6097459	6099646	LG8	minus	carboxypeptidase A1-like	LOC123475394	123475394	protein-coding	XM_045178026.1	XP_045033961.1	417	
NC_059189.1	6099689	6100992	LG8	minus	E3 ubiquitin-protein ligase TRIM32-like	LOC123475350	123475350	protein-coding	XM_045177944.1	XP_045033879.1	382	
NC_059189.1	6101120	6102909	LG8	minus	uncharacterized LOC123475426	LOC123475426	123475426	lncRNA	XR_006650463.1			
NC_059189.1	6101337	6103984	LG8	plus	uncharacterized LOC123475417	LOC123475417	123475417	lncRNA	XR_006650451.1			
NC_059189.1	6104236	6105214	LG8	minus	extensin-2-like	LOC123475351	123475351	protein-coding	XM_045177945.1	XP_045033880.1	201	
NC_059189.1	6105012	6107262	LG8	plus	uncharacterized protein LOC123475410	LOC123475410	123475410	protein-coding	XM_045178044.1	XP_045033979.1	108	
NC_059189.1	6107855	6111729	LG8	plus	uncharacterized gene	LOC123475403	123475403	pseudogene				
NC_059189.1	6108147	6108629	LG8	minus	uncharacterized LOC123475423	LOC123475423	123475423	lncRNA	XR_006650459.1			
NC_059189.1	6111672	6112132	LG8	minus	uncharacterized LOC123475420, transcript variant X2	LOC123475420	123475420	lncRNA	XR_006650455.1			
NC_059189.1	6112204	6114735	LG8	minus	extensin-2-like isoform X1	LOC123475404	123475404	protein-coding	XM_045178031.1	XP_045033966.1	228	
NC_059189.1	6126081	6128239	LG8	minus	carboxypeptidase A1-like	LOC123475393	123475393	protein-coding	XM_045178025.1	XP_045033960.1	417	
NC_059189.1	6129810	6132868	LG8	plus	uncharacterized LOC123475416, transcript variant X5	LOC123475416	123475416	lncRNA	XR_006650446.1			
NC_059189.1	6137802	6139684	LG8	plus	uncharacterized protein LOC123475236	LOC123475236	123475236	protein-coding	XM_045177655.1	XP_045033590.1	486	
NC_059189.1	6143408	6144487	LG8	minus	uncharacterized LOC123475206, transcript variant X2	LOC123475206	123475206	lncRNA	XR_006649993.1			
NC_059189.1	6150679	6152380	LG8	plus	uncharacterized protein LOC123475209	LOC123475209	123475209	protein-coding	XM_045177557.1	XP_045033492.1	433	
NC_059189.1	6152371	6154891	LG8	minus	uncharacterized protein LOC116919825	LOC116919825	116919825	protein-coding	XM_045177556.1	XP_045033491.1	721	
NC_059189.1	6156303	6158936	LG8	plus	T-complex protein 1 subunit beta	LOC116922686	116922686	protein-coding	XM_032929046.2	XP_032784937.1	94	
NC_059189.1	6161495	6163517	LG8	plus	uncharacterized protein LOC116922685	LOC116922685	116922685	protein-coding	XM_045177946.1	XP_045033881.1	214	
NC_059189.1	6166188	6169449	LG8	minus	uncharacterized protein LOC123475353	LOC123475353	123475353	protein-coding	XM_045177947.1	XP_045033882.1	772	
NC_059189.1	6176418	6179009	LG8	minus	uncharacterized gene	LOC116928702	116928702	pseudogene				
NC_059189.1	6186315	6188694	LG8	minus	ovalbumin-related protein X	LOC116929735	116929735	protein-coding	XM_032937076.2	XP_032792967.2	408	
NC_059189.1	6188740	6199629	LG8	minus	protein capicua homolog	LOC116929672	116929672	protein-coding	XM_045177948.1	XP_045033883.1	2060	
NC_059189.1	6200225	6202592	LG8	plus	negative elongation factor E	LOC116929734	116929734	protein-coding	XM_032937075.2	XP_032792966.1	290	
NC_059189.1	6202657	6208932	LG8	minus	uncharacterized protein LOC116929678 isoform X1	LOC116929678	116929678	protein-coding	XM_032936984.2	XP_032792875.2	1267	
NC_059189.1	6212484	6213620	LG8	plus	transcription factor ETV7	LOC116929761	116929761	protein-coding	XM_032937106.2	XP_032792997.1	117	
NC_059189.1	6213411	6216387	LG8	minus	HAUS augmin-like complex subunit 5	LOC116929697	116929697	protein-coding	XM_032937019.2	XP_032792910.2	639	
NC_059189.1	6216397	6219147	LG8	plus	leukocyte elastase inhibitor isoform X1	LOC116929713	116929713	protein-coding	XM_032937046.2	XP_032792937.2	463	
NC_059189.1	6219293	6222102	LG8	plus	uncharacterized protein LOC116929728	LOC116929728	116929728	protein-coding	XM_045178181.1	XP_045034116.1	244	
NC_059189.1	6223461	6224357	LG8	minus	uncharacterized protein LOC116929750	LOC116929750	116929750	protein-coding	XM_032937096.2	XP_032792987.1	199	
NC_059189.1	6225623	6232016	LG8	plus	tuberin	LOC116929674	116929674	protein-coding	XM_032936977.2	XP_032792868.1	1657	
NC_059189.1	6254939	6262759	LG8	plus	neurogenic locus protein delta	LOC116929679	116929679	protein-coding	XM_045178529.1	XP_045034464.1	812	
NC_059189.1	6271812	6272902	LG8	plus	uncharacterized LOC123475274	LOC123475274	123475274	lncRNA	XR_006650192.1			
NC_059189.1	6272627	6274388	LG8	minus	uncharacterized LOC116930781	LOC116930781	116930781	lncRNA	XR_006650193.1			
NC_059189.1	6273681	6274186	LG8	plus	uncharacterized LOC116930780	LOC116930780	116930780	lncRNA	XR_004398557.2			
NC_059189.1	6276045	6276809	LG8	plus	uncharacterized LOC116930782	LOC116930782	116930782	lncRNA	XR_004398559.2			
NC_059189.1	6278174	6279729	LG8	minus	uncharacterized protein LOC116930538	LOC116930538	116930538	protein-coding	XM_045177949.1	XP_045033884.1	481	
NC_059189.1	6301172	6306749	LG8	plus	uncharacterized gene	LOC116930540	116930540	pseudogene				
NC_059189.1	6309227	6310056	LG8	minus	uncharacterized protein LOC116930783	LOC116930783	116930783	protein-coding	XM_032938187.2	XP_032794078.1	186	
NC_059189.1	6312851	6313515	LG8	plus	uncharacterized protein LOC123475222 isoform X1	LOC123475222	123475222	protein-coding	XM_045177625.1	XP_045033560.1	130	
NC_059189.1	6313271	6314543	LG8	minus	uncharacterized LOC123475223, transcript variant X2	LOC123475223	123475223	lncRNA	XR_006650006.1			
NC_059189.1	6321023	6321814	LG8	minus	uncharacterized protein LOC116928656	LOC116928656	116928656	protein-coding	XM_032935752.2	XP_032791643.1	263	
NC_059189.1	6326694	6329340	LG8	plus	uncharacterized gene	LOC116928657	116928657	pseudogene				
NC_059189.1	6351103	6353429	LG8	plus	uncharacterized protein LOC123475355	LOC123475355	123475355	protein-coding	XM_045177950.1	XP_045033885.1	628	
NC_059189.1	6360117	6362130	LG8	minus	uncharacterized LOC116935652, transcript variant X3	LOC116935652	116935652	lncRNA	XR_004401355.2			
NC_059189.1	6370025	6371293	LG8	minus	uncharacterized gene	LOC123475233	123475233	pseudogene				
NC_059189.1	6377924	6378871	LG8	plus	trafficking protein particle complex subunit 4	LOC116933561	116933561	protein-coding	XM_032941312.2	XP_032797203.2	216	
NC_059189.1	6378960	6382028	LG8	minus	protein lines	LOC116933560	116933560	protein-coding	XM_032941311.2	XP_032797202.1	673	
NC_059189.1	6384023	6386927	LG8	minus	uncharacterized LOC123475518	LOC123475518	123475518	lncRNA	XR_006650684.1			
NC_059189.1	6386994	6389947	LG8	plus	glutathione-specific gamma-glutamylcyclotransferase 1	LOC116935654	116935654	protein-coding	XM_032942932.2	XP_032798823.1	242	
NC_059189.1	6389952	6394732	LG8	minus	serpin B4	LOC116935653	116935653	protein-coding	XM_045178295.1	XP_045034230.1	724	
NC_059189.1	6395603	6399200	LG8	plus	mitochondrial import inner membrane translocase subunit TIM44	LOC116935656	116935656	protein-coding	XM_032942934.2	XP_032798825.1	431	
NC_059189.1	6401200	6402444	LG8	minus	uncharacterized LOC116923271	LOC116923271	116923271	misc_RNA	XR_006650270.1			
NC_059189.1	6403454	6404068	LG8	plus	twist-related protein 1-like	LOC116923270	116923270	protein-coding	XM_032929736.1	XP_032785627.1	204	
NC_059189.1	6404337	6407470	LG8	plus	LOW QUALITY PROTEIN: uncharacterized protein K02A2.6-like	LOC116923269	116923269	protein-coding	XM_045177952.1	XP_045033887.1	959	
NC_059189.1	6407470	6407910	LG8	plus	uncharacterized protein LOC116922627	LOC116922627	116922627	protein-coding	XM_032929005.2	XP_032784896.2	146	
NC_059189.1	6413153	6415448	LG8	minus	uncharacterized protein LOC116923624	LOC116923624	116923624	protein-coding	XM_045177892.1	XP_045033827.1	275	
NC_059189.1	6418590	6421447	LG8	minus	uncharacterized protein LOC123475356	LOC123475356	123475356	protein-coding	XM_045177953.1	XP_045033888.1	625	
NC_059189.1	6449997	6451335	LG8	minus	uncharacterized gene	LOC116928641	116928641	pseudogene				
NC_059189.1	6451366	6451765	LG8	plus	uncharacterized LOC123475283	LOC123475283	123475283	lncRNA	XR_006650285.1			
NC_059189.1	6499606	6501610	LG8	minus	uncharacterized protein LOC123475357	LOC123475357	123475357	protein-coding	XM_045177954.1	XP_045033889.1	411	
NC_059189.1	6508866	6509366	LG8	minus	LOW QUALITY PROTEIN: protein translocase subunit SecD-like	LOC116928921	116928921	protein-coding	XM_032936057.2	XP_032791948.2	166	
NC_059189.1	6511535	6513914	LG8	minus	uncharacterized protein LOC116928637	LOC116928637	116928637	protein-coding	XM_032935739.2	XP_032791630.2	426	
NC_059189.1	6525794	6526554	LG8	plus	uncharacterized LOC123475203	LOC123475203	123475203	lncRNA	XR_006649989.1			
NC_059189.1	6527075	6529348	LG8	plus	leucine-rich repeat neuronal protein 1	LOC116929626	116929626	protein-coding	XM_032936898.2	XP_032792789.2	562	
NC_059189.1	6530039	6532970	LG8	plus	brain-specific homeobox protein homolog isoform X1	LOC116929627	116929627	protein-coding	XM_032936899.2	XP_032792790.1	269	
NC_059189.1	6537530	6539305	LG8	minus	beclin-1-like protein isoform X1	LOC116929885	116929885	protein-coding	XM_032937235.2	XP_032793126.1	462	
NC_059189.1	6539518	6541385	LG8	plus	uncharacterized LOC123475225	LOC123475225	123475225	lncRNA	XR_006650009.1			
NC_059189.1	6542791	6552555	LG8	minus	uncharacterized gene	LOC116933413	116933413	pseudogene				
NC_059189.1	6557714	6558253	LG8	minus	uncharacterized LOC116923623	LOC116923623	116923623	lncRNA	XR_004394605.2			
NC_059189.1	6561443	6564296	LG8	plus	KICSTOR complex protein ITFG2	LOC116923621	116923621	protein-coding	XM_032930094.1	XP_032785985.1	409	
NC_059189.1	6564541	6566377	LG8	minus	damage-control phosphatase ARMT1	LOC116923620	116923620	protein-coding	XM_032930092.2	XP_032785983.1	439	
NC_059189.1	6566531	6567181	LG8	plus	uncharacterized LOC123475622	LOC123475622	123475622	lncRNA	XR_006650997.1			
NC_059189.1	6576889	6578553	LG8	minus	uncharacterized gene	LOC123475358	123475358	pseudogene				
NC_059189.1	6583139	6584026	LG8	minus	uncharacterized protein LOC123475623	LOC123475623	123475623	protein-coding	XM_045178583.1	XP_045034518.1	203	
NC_059189.1	6590023	6591523	LG8	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC123475360	LOC123475360	123475360	protein-coding	XM_045177964.1	XP_045033899.1	415	
NC_059189.1	6596332	6598065	LG8	plus	uncharacterized gene	LOC123475361	123475361	pseudogene				
NC_059189.1	6599650	6600254	LG8	plus	uncharacterized protein LOC116934680	LOC116934680	116934680	protein-coding	XM_032942150.2	XP_032798041.1	146	
NC_059189.1	6605171	6608956	LG8	minus	uncharacterized protein LOC116929550	LOC116929550	116929550	protein-coding	XM_032936815.2	XP_032792706.2	508	
NC_059189.1	6608971	6610161	LG8	minus	uncharacterized protein LOC116929552	LOC116929552	116929552	protein-coding	XM_032936816.1	XP_032792707.1	396	
NC_059189.1	6622334	6627479	LG8	plus	vasodilator-stimulated phosphoprotein isoform X1	LOC116929797	116929797	protein-coding	XM_032937113.2	XP_032793004.1	445	
NC_059189.1	6634333	6635562	LG8	plus	uncharacterized gene	LOC116929553	116929553	pseudogene				
NC_059189.1	6649306	6649872	LG8	plus	uncharacterized gene	LOC116929554	116929554	pseudogene				
NC_059189.1	6650645	6652042	LG8	plus	uncharacterized gene	LOC116929555	116929555	pseudogene				
NC_059189.1	6668024	6670968	LG8	plus	kanadaptin isoform X1	LOC116929622	116929622	protein-coding	XM_032936892.2	XP_032792783.1	687	
NC_059189.1	6670897	6672479	LG8	minus	uncharacterized protein LOC116929623 isoform X1	LOC116929623	116929623	protein-coding	XM_032936893.2	XP_032792784.1	306	
NC_059189.1	6679636	6680049	LG8	minus	uncharacterized protein LOC116929556	LOC116929556	116929556	protein-coding	XM_032936818.1	XP_032792709.1	137	
NC_059189.1	6681254	6683085	LG8	minus	uncharacterized protein LOC116929557	LOC116929557	116929557	protein-coding	XM_032936819.2	XP_032792710.1	534	
NC_059189.1	6693202	6694178	LG8	plus	uncharacterized LOC116928508	LOC116928508	116928508	lncRNA	XR_006650305.1			
NC_059189.1	6709011	6710300	LG8	minus	uncharacterized protein LOC116929549	LOC116929549	116929549	protein-coding	XM_045177965.1	XP_045033900.1	342	
NC_059189.1	6719805	6720878	LG8	plus	uncharacterized gene	LOC116929548	116929548	pseudogene				
NC_059189.1	6734852	6735502	LG8	minus	uncharacterized gene	LOC123475362	123475362	pseudogene				
NC_059189.1	6750101	6751319	LG8	plus	uncharacterized LOC123475354	LOC123475354	123475354	lncRNA	XR_006650390.1			
NC_059189.1	6753230	6755391	LG8	plus	uncharacterized protein LOC116929798	LOC116929798	116929798	protein-coding	XM_032937121.2	XP_032793012.1	408	
NC_059189.1	6755377	6757230	LG8	minus	tethering factor for nuclear proteasome STS1	LOC116929799	116929799	protein-coding	XM_032937122.2	XP_032793013.1	328	
NC_059189.1	6762754	6765675	LG8	minus	protein krasavietz	LOC116929121	116929121	protein-coding	XM_032936277.2	XP_032792168.2	418	
NC_059189.1	6766774	6777913	LG8	minus	speckle-type POZ protein	LOC116929120	116929120	protein-coding	XM_032936275.2	XP_032792166.1	482	
NC_059189.1	6783971	6786060	LG8	minus	dnaJ homolog subfamily A member 1 isoform X1	LOC116929801	116929801	protein-coding	XM_032937129.2	XP_032793020.2	423	
NC_059189.1	6788351	6789145	LG8	plus	uncharacterized protein LOC123475364	LOC123475364	123475364	protein-coding	XM_045177966.1	XP_045033901.1	264	
NC_059189.1	6793029	6793739	LG8	plus	uncharacterized protein LOC116930784	LOC116930784	116930784	protein-coding	XM_045177551.1	XP_045033486.1	106	
NC_059189.1	6793513	6794717	LG8	minus	uncharacterized LOC123475205, transcript variant X2	LOC123475205	123475205	lncRNA	XR_006649991.1			
NC_059189.1	6865947	6869290	LG8	minus	probable cyclin-dependent serine/threonine-protein kinase DDB_G0292550 isoform X1	LOC116915648	116915648	protein-coding	XM_045178576.1	XP_045034511.1	556	
NC_059189.1	6896831	6903730	LG8	plus	LOW QUALITY PROTEIN: uncharacterized protein LOC116923557	LOC116923557	116923557	protein-coding	XM_045177872.1	XP_045033807.1	389	
NC_059189.1	6915432	6916260	LG8	plus	uncharacterized protein LOC123475495	LOC123475495	123475495	protein-coding	XM_045178192.1	XP_045034127.1	179	
NC_059189.1	6917438	6919386	LG8	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC116923324	LOC116923324	116923324	protein-coding	XM_045177967.1	XP_045033902.1	513	
NC_059189.1	6927089	6927917	LG8	plus	uncharacterized protein LOC116923587	LOC116923587	116923587	protein-coding	XM_032930079.2	XP_032785970.1	179	
NC_059189.1	6929095	6931043	LG8	minus	LOW QUALITY PROTEIN: uncharacterized protein LOC123475365	LOC123475365	123475365	protein-coding	XM_045177968.1	XP_045033903.1	513	
NC_059189.1	6937358	6938419	LG8	plus	uncharacterized protein LOC116923327	LOC116923327	116923327	protein-coding	XM_032929783.2	XP_032785674.2	353	
NC_059189.1	6938990	6940758	LG8	plus	uncharacterized protein LOC123475366	LOC123475366	123475366	protein-coding	XM_045177969.1	XP_045033904.1	575	
NC_059189.1	6940847	6941437	LG8	plus	uncharacterized protein LOC123475367	LOC123475367	123475367	protein-coding	XM_045177970.1	XP_045033905.1	196	
NC_059189.1	6950468	6952741	LG8	plus	uncharacterized protein LOC116923328	LOC116923328	116923328	protein-coding	XM_045177971.1	XP_045033906.1	210	
NC_059189.1	6968294	6969388	LG8	plus	uncharacterized protein LOC116928659	LOC116928659	116928659	protein-coding	XM_032935755.1	XP_032791646.1	339	
NC_059189.1	6969422	6970593	LG8	plus	uncharacterized protein LOC116928660	LOC116928660	116928660	protein-coding	XM_045177972.1	XP_045033907.1	354	
NC_059189.1	6973308	6977528	LG8	plus	uncharacterized protein LOC123475368	LOC123475368	123475368	protein-coding	XM_045177973.1	XP_045033908.1	1304	
NC_059189.1	6980247	6982251	LG8	plus	uncharacterized protein LOC116929731	LOC116929731	116929731	protein-coding	XM_032937072.2	XP_032792963.1	308	
NC_059189.1	6987049	6991620	LG8	plus	uncharacterized gene	LOC116928661	116928661	pseudogene				
NC_059189.1	7021338	7023690	LG8	plus	regulator of microtubule dynamics protein 3	LOC116929720	116929720	protein-coding	XM_032937055.2	XP_032792946.2	380	
NC_059189.1	7026030	7036510	LG8	plus	polyamine-transporting ATPase 13A3 isoform X1	LOC116929677	116929677	protein-coding	XM_032936980.2	XP_032792871.1	1294	
NC_059189.1	7026848	7027481	LG8	minus	uncharacterized LOC123475603	LOC123475603	123475603	lncRNA	XR_006650965.1			
NC_059189.1	7041323	7043236	LG8	minus	zinc finger MYM-type protein 1-like	LOC116928663	116928663	protein-coding	XM_045177974.1	XP_045033909.1	580	
NC_059189.1	7047624	7049519	LG8	minus	uncharacterized protein K02A2.6-like	LOC116928665	116928665	protein-coding	XM_032935759.1	XP_032791650.1	631	
NC_059189.1	7073177	7073723	LG8	minus	uncharacterized LOC116929772	LOC116929772	116929772	lncRNA	XR_004398046.2			
NC_059189.1	7078706	7080667	LG8	plus	ras-related protein Rab-27A isoform X1	LOC116929742	116929742	protein-coding	XM_032937082.2	XP_032792973.1	246	
NC_059189.1	7080565	7082365	LG8	minus	WD repeat-containing protein 61 isoform X1	LOC116929725	116929725	protein-coding	XM_032937064.2	XP_032792955.1	356	
NC_059189.1	7098901	7103499	LG8	plus	uncharacterized protein LOC123475369	LOC123475369	123475369	protein-coding	XM_045177975.1	XP_045033910.1	1532	
NC_059189.1	7120149	7121053	LG8	minus	uncharacterized protein LOC116928703	LOC116928703	116928703	protein-coding	XM_032935798.2	XP_032791689.1	175	
NC_059189.1	7127610	7133121	LG8	minus	polypeptide N-acetylgalactosaminyltransferase 5 isoform X1	LOC116929406	116929406	protein-coding	XM_032936621.2	XP_032792512.1	639	
NC_059189.1	7139394	7148169	LG8	minus	uncharacterized gene	LOC116928720	116928720	pseudogene				
NC_059189.1	7195867	7198576	LG8	plus	nucleoporin NSP1-like	LOC123475370	123475370	protein-coding	XM_045177976.1	XP_045033911.1	699	
NC_059189.1	7208518	7212669	LG8	plus	uncharacterized protein LOC116935697	LOC116935697	116935697	protein-coding	XM_045177977.1	XP_045033912.1	1291	
NC_059189.1	7215605	7217132	LG8	plus	uncharacterized LOC116921971	LOC116921971	116921971	lncRNA	XR_006649987.1			
NC_059189.1	7219230	7223559	LG8	plus	hybrid signal transduction histidine kinase G-like	LOC123475258	123475258	protein-coding	XM_045177694.1	XP_045033629.1	298	
NC_059189.1	7224162	7225810	LG8	minus	uncharacterized protein LOC116935694	LOC116935694	116935694	protein-coding	XM_032942966.2	XP_032798857.1	306	
NC_059189.1	7226433	7232942	LG8	minus	isoleucine--tRNA ligase, mitochondrial	LOC116935698	116935698	protein-coding	XM_032942970.2	XP_032798861.2	977	
NC_059189.1	7234250	7236277	LG8	minus	uncharacterized protein LOC123466540	LOC123466540	123466540	protein-coding	XM_045177536.1	XP_045033471.1	531	
NC_059189.1	7239572	7240627	LG8	minus	uncharacterized protein LOC123475371	LOC123475371	123475371	protein-coding	XM_045177978.1	XP_045033913.1	351	
NC_059189.1	7240625	7250377	LG8	minus	uncharacterized gene	LOC123475372	123475372	pseudogene				
NC_059189.1	7269372	7270219	LG8	minus	uncharacterized gene	LOC123475373	123475373	pseudogene				
NC_059189.1	7275621	7276943	LG8	plus	uncharacterized LOC116928506, transcript variant X2	LOC116928506	116928506	lncRNA	XR_006650188.1			
NC_059189.1	7342380	7347714	LG8	minus	uncharacterized protein LOC123475374	LOC123475374	123475374	protein-coding	XM_045177979.1	XP_045033914.1	1761	
NC_059189.1	7376455	7380532	LG8	minus	uncharacterized protein LOC123475375	LOC123475375	123475375	protein-coding	XM_045177980.1	XP_045033915.1	1316	
NC_059189.1	7390797	7391988	LG8	minus	uncharacterized gene	LOC116935387	116935387	pseudogene				
NC_059189.1	7397724	7405623	LG8	plus	uncharacterized protein LOC116935017	LOC116935017	116935017	protein-coding	XM_045177981.1	XP_045033916.1	1963	
NC_059189.1	7443752	7447211	LG8	plus	LOW QUALITY PROTEIN: uncharacterized protein LOC116935515	LOC116935515	116935515	protein-coding	XM_045177982.1	XP_045033917.1	1138	
